S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
54,2025-11-30,847.7,917.0,847.7,907.1,4.87,"36,262.00","32,374,520.90"
55,2025-11-27,919.3,973.0,865.0,865.0,-7.78,"44,361.00","39,937,424.70"
56,2025-11-26,912.4,984.0,880.0,938.0,0.75,"47,659.00","44,180,734.30"
57,2025-11-25,866.4,952.0,821.0,931.0,5.32,"44,943.00","39,569,985.10"
58,2025-11-24,809.7,884.0,809.7,884.0,7.0,"40,393.00","34,415,190.50"
59,2025-11-23,772.8,854.0,750.0,826.2,4.78,"61,076.00","48,595,961.30"
60,2025-11-20,729.7,810.0,715.2,788.5,5.91,"51,453.00","40,339,982.40"
61,2025-11-19,663.4,744.5,663.4,744.5,9.99,"56,113.00","40,254,618.30"
62,2025-11-18,622.0,678.3,622.0,676.9,8.7,"31,242.00","20,476,250.20"
63,2025-11-17,601.1,633.4,601.1,622.7,3.08,"18,153.00","11,305,147.80"
64,2025-11-16,595.4,617.1,595.4,604.1,0.68,"9,133.00","5,548,529.70"
65,2025-11-13,595.0,612.0,595.0,600.0,0.17,"9,741.00","5,895,342.70"
66,2025-11-12,597.0,602.0,594.0,599.0,-1.48,"5,670.00","3,385,857.80"
67,2025-11-11,585.1,609.0,585.1,608.0,1.84,"7,320.00","4,381,554.70"
68,2025-11-10,595.0,610.0,595.0,597.0,-0.83,"7,150.00","4,286,960.50"
69,2025-11-09,600.0,612.5,600.0,602.0,-1.31,"10,426.00","6,305,813.60"
70,2025-11-06,615.0,625.0,608.5,610.0,-2.04,"7,848.00","4,823,851.50"
71,2025-11-05,613.0,624.7,613.0,622.7,-0.21,"7,197.00","4,436,662.90"
72,2025-11-04,630.0,636.0,617.4,624.0,-1.73,"7,138.00","4,435,386.80"
73,2025-11-03,646.0,650.0,626.0,635.0,-1.7,"9,340.00","5,928,805.60"
74,2025-11-02,605.5,646.0,605.1,646.0,5.04,"16,879.00","10,566,557.00"
75,2025-10-30,603.0,620.0,600.0,615.0,0.33,"10,128.00","6,173,577.60"
76,2025-10-29,610.0,627.0,606.0,613.0,-0.81,"7,080.00","4,357,841.60"
77,2025-10-28,588.1,620.0,588.1,618.0,3.87,"9,500.00","5,777,605.00"
78,2025-10-26,595.0,597.0,586.0,595.0,0.0,"2,055.00","1,213,154.00"
79,2025-10-19,595.0,600.0,585.0,595.0,-1.16,"6,556.00","3,879,634.80"
80,2025-10-16,600.0,606.0,594.1,602.0,-0.68,"11,442.00","6,864,987.50"
81,2025-10-15,631.0,631.0,601.0,606.1,-2.08,"8,176.00","5,003,972.60"
82,2025-10-14,636.0,642.0,607.0,619.0,-2.67,"9,370.00","5,771,991.40"
83,2025-10-13,600.0,637.0,597.1,636.0,4.61,"11,440.00","6,964,569.00"
84,2025-10-12,620.0,625.0,605.0,608.0,-3.51,"15,730.00","9,566,173.60"
85,2025-10-09,637.5,663.0,620.2,630.1,0.82,"16,468.00","10,511,522.90"
86,2025-10-08,645.0,652.0,616.6,625.0,-4.01,"28,090.00","17,615,859.00"
87,2025-10-07,674.3,674.3,619.2,651.1,-5.36,"39,857.00","25,820,247.30"
88,2025-09-28,706.8,762.3,666.4,688.0,-0.72,"76,236.00","52,107,209.00"
89,2025-09-25,642.6,693.0,642.6,693.0,10.0,"3,810.00","2,639,093.00"
90,2025-09-24,584.2,630.0,584.2,630.0,9.99,"4,010.00","2,525,175.00"
91,2025-09-23,531.2,572.8,531.2,572.8,9.98,"2,710.00","1,551,268.00"
92,2025-09-21,465.0,520.8,465.0,520.8,9.99,"2,380.00","1,237,581.00"
93,2025-09-18,439.0,473.5,439.0,473.5,9.99,290.00,"135,085.00"
94,2025-09-08,399.2,430.5,399.2,430.5,9.99,250.00,"106,855.00"
95,2025-09-07,355.0,391.4,355.0,391.4,9.97,230.00,"88,559.00"
96,2025-09-04,319.3,355.9,319.3,355.9,9.98,160.00,"55,724.00"
97,2025-09-03,289.7,323.6,289.7,323.6,9.99,110.00,"34,447.00"
98,2025-09-02,272.8,294.2,272.8,294.2,9.98,60.00,"17,124.00"
99,2025-09-01,252.2,267.5,252.2,267.5,6.07,60.00,"15,406.00"
