S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
45,2026-02-05,"2,075.00","2,150.00","2,075.00","2,115.00",1.93,"255,450.00","537,410,767.70"
46,2026-02-04,"2,171.40","2,171.40","2,045.00","2,075.00",-2.53,"286,844.00","603,059,715.60"
47,2026-02-03,"2,071.30","2,233.00","2,071.30","2,128.90",4.84,"273,987.00","592,908,411.50"
48,2026-02-02,"1,855.00","2,030.70","1,855.00","2,030.70",10.0,"194,676.00","385,003,033.70"
49,2026-02-01,"1,920.00","2,010.00","1,822.10","1,846.10",-4.84,"284,858.00","536,486,965.50"
50,2026-01-29,"2,174.60","2,210.00","1,940.00","1,940.00",-9.01,"254,144.00","522,954,989.00"
51,2026-01-28,"2,055.30","2,159.90","2,022.70","2,132.00",5.81,"237,756.00","498,804,873.30"
52,2026-01-27,"2,110.00","2,255.90","1,881.00","2,015.00",-2.64,"274,221.00","576,838,791.90"
53,2026-01-26,"1,919.10","2,069.60","1,881.50","2,069.60",10.0,"251,200.00","501,708,813.60"
54,2026-01-25,"1,744.70","1,881.50","1,744.70","1,881.50",10.0,"128,089.00","237,396,362.70"
55,2026-01-22,"1,550.00","1,710.50","1,540.00","1,710.50",10.0,"202,436.00","329,578,570.70"
56,2026-01-21,"1,565.00","1,588.00","1,525.00","1,555.00",-0.32,"151,540.00","235,428,594.70"
57,2026-01-20,"1,509.50","1,588.00","1,509.50","1,560.00",5.41,"172,385.00","268,728,600.70"
58,2026-01-18,"1,385.00","1,500.00","1,370.00","1,480.00",6.86,"258,416.00","373,962,149.60"
59,2026-01-14,"1,410.10","1,439.90","1,365.00","1,383.00",-1.92,"157,437.00","220,185,276.10"
60,2026-01-13,"1,411.40","1,502.00","1,377.90","1,410.10",1.9,"242,010.00","348,154,526.10"
61,2026-01-12,"1,232.90","1,383.80","1,209.00","1,383.80",10.0,"318,411.00","422,248,843.70"
62,2026-01-08,"1,190.00","1,295.00","1,169.00","1,258.00",5.71,"161,155.00","200,632,769.50"
63,2026-01-07,"1,326.00","1,326.00","1,190.00","1,190.10",-8.45,"217,502.00","269,497,282.70"
64,2026-01-06,"1,257.70","1,356.40","1,255.00","1,300.00",5.43,"188,305.00","248,836,986.70"
65,2026-01-05,"1,098.60","1,233.10","1,098.60","1,233.10",10.0,"146,092.00","175,140,756.10"
66,2026-01-04,"1,034.90","1,144.00",995.0,"1,121.00",6.16,"290,504.00","306,585,076.90"
67,2026-01-01,987.0,"1,064.80",973.0,"1,056.00",9.09,"226,280.00","234,111,465.50"
68,2025-12-31,870.0,968.0,870.0,968.0,10.0,"96,982.00","92,354,539.90"
69,2025-12-29,800.0,880.0,800.0,880.0,10.0,"271,908.00","230,241,936.90"
70,2025-12-28,798.7,805.0,781.7,800.0,-1.84,"238,510.00","189,260,777.90"
71,2025-12-24,806.0,840.0,791.1,815.0,1.12,"179,261.00","144,935,383.20"
72,2025-12-23,768.2,816.0,766.0,806.0,7.01,"391,371.00","309,817,308.50"
73,2025-12-22,676.7,753.2,676.7,753.2,9.99,"64,350.00","48,465,144.00"
74,2025-12-21,635.0,684.8,635.0,684.8,9.99,"1,840.00","1,258,313.00"
75,2025-12-18,577.2,622.6,577.2,622.6,10.0,"1,070.00","664,611.00"
76,2025-12-17,524.8,566.0,524.8,566.0,9.99,640.0,"360,815.00"
77,2025-12-16,461.8,514.6,461.8,514.6,9.98,560.0,"286,427.00"
78,2025-12-15,433.9,467.9,433.9,467.9,9.99,460.0,"214,398.00"
79,2025-12-14,379.5,425.4,379.5,425.4,9.98,500.0,"210,646.00"
80,2025-12-11,358.7,386.8,358.7,386.8,9.98,320.0,"122,242.00"
81,2025-12-10,319.8,351.7,319.8,351.7,9.97,300.0,"102,647.00"
